situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,1610.2973143475676,761.7301354665534
250_z,126,A,1,1673.7830961804411,291.5250474837642
250_z,135,A,1,1580.3105932316384,266.4019722091836
250_z,150,A,1,1593.66707003995,896.5480288575975
250_z,88,A,1,1616.4016815817738,409.11191809141275
350_z,123,A,1,1974.5579304686544,228.6260974023451
350_z,126,A,1,2106.467669694569,644.7388810737048
350_z,133,A,1,1967.556414273375,234.33722643787033
350_z,150,A,1,2074.3678984816997,685.0045373165707
350_z,86,A,1,2081.770325785557,246.62094242542258
451_z,123,A,1,2356.8754617272098,278.1167936802732
451_z,127,A,1,2332.5966803343053,264.2553501525928
451_z,132,A,1,2379.591924973836,595.3241878942896
451_z,145,A,1,2336.0833563403376,713.4327781162093
451_z,83,A,1,2313.214031693338,396.3590420225574
