situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,2992.4943359375,
250_z,126,A,1,2113.930953979492,347.403995513916
250_z,135,A,1,2026.874799455915,0.0
250_z,150,A,1,2095.1315846162684,1161.867172241211
250_z,88,A,1,2110.342041015625,344.1451110839844
350_z,123,A,1,2751.9864908854165,414.07049560546875
350_z,126,A,1,3633.7965303308824,
350_z,133,A,1,2677.4816650390626,0.0
350_z,150,A,1,2869.3960822610293,1149.678466796875
350_z,86,A,1,2954.70703125,664.9651794433594
451_z,123,A,1,3495.027415556066,383.7802429199219
451_z,127,A,1,3364.1934599034926,939.1355562210083
451_z,132,A,1,3515.981617647059,872.293830871582
451_z,145,A,1,4190.382309857537,
451_z,83,A,1,3457.711393229167,0.0
