situation_depth,situation_height,letter,person_index,depth,height
250_Z,124,A,1,2545.6000813802084,1604.7739753592002
250_Z,150,A,1,2511.58833582261,1857.850919925333
250_Z,88,A,1,2544.533479817708,0.0
350_Z,123,A,1,3430.0589815027574,196.55746406349238
350_Z,126,A,1,3569.0001579733457,1600.4747457875865
350_Z,133,A,1,3449.82368738511,191.55312411123788
350_Z,150,A,1,3545.866796875,1031.9568818065811
350_Z,86,A,1,3635.7648782169117,0.0
451_Z,123,A,1,4561.823701746323,501.6285604467232
451_Z,127,A,1,4501.117819393382,247.97445667145647
451_Z,132,A,1,4543.353285845588,1588.0160082546645
451_Z,145,A,1,4577.823787913603,1283.9791224512176
451_Z,83,A,1,4629.941348805147,700.1476763691844
