situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,1597.551906413644,576.9372574701177
250_z,126,A,1,1643.1178523659976,223.44399723384328
250_z,135,A,1,1568.4925626936965,54.22703843545224
250_z,150,A,1,1585.095979423666,704.4230472406198
250_z,88,A,1,1667.2560558790924,111.00797684514487
350_z,123,A,1,1961.5296472495775,14.404300793566847
350_z,126,A,1,2094.369685985139,237.60639446680602
350_z,133,A,1,1960.0945882186875,89.72907953611053
350_z,150,A,1,2009.6643334658215,631.1283179314515
350_z,86,A,1,2075.979535835415,184.3934424976413
451_z,123,A,1,2344.6143763025725,212.593062444067
451_z,127,A,1,2340.5829744491934,200.19840493127484
451_z,132,A,1,2378.3897378470665,300.5941959849196
451_z,145,A,1,2364.295046930521,453.02444440870147
451_z,83,A,1,2300.340155511427,225.4964363948681
