situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,2992.4943359375,
250_z,126,A,1,2113.930953979492,268.8057507080191
250_z,135,A,1,2026.874799455915,0.0
250_z,150,A,1,2095.1315846162684,899.0056473213441
250_z,88,A,1,2099.1043526785716,250.22521891494137
350_z,123,A,1,2751.9864908854165,317.7911374878899
350_z,126,A,1,3633.7965303308824,
350_z,133,A,1,2677.4816650390626,0.0
350_z,150,A,1,2869.3960822610293,880.1054744706112
350_z,86,A,1,2954.70703125,508.9239754443584
451_z,123,A,1,3495.027415556066,291.8825753415614
451_z,127,A,1,3364.1934599034926,715.6578531617761
451_z,132,A,1,3515.981617647059,663.305402364254
451_z,145,A,1,4190.382309857537,
451_z,83,A,1,3457.711393229167,0.0
