situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,2157.78125,738.7448381161317
250_z,126,A,1,2175.600341796875,343.85252921019975
250_z,135,A,1,2123.989559397978,416.4767898840406
250_z,150,A,1,2163.845099954044,887.3854443802037
250_z,88,A,1,2244.405265299479,133.7050157054759
350_z,123,A,1,2898.401138305664,24.021030842281235
350_z,126,A,1,3127.321576286765,0.0
350_z,133,A,1,2898.213206571691,17.442317398020663
350_z,150,A,1,2940.345889820772,865.6057336574437
350_z,86,A,1,3166.871452780331,113.81408429085059
451_z,123,A,1,3791.6126556396484,
451_z,127,A,1,3599.6830891927084,409.08627135626267
451_z,132,A,1,3635.162166819853,0.0
451_z,145,A,1,3687.8885803222656,461.72227048887214
451_z,83,A,1,3923.3733197380516,
