situation_depth,situation_height,letter,person_index,depth,height
250_Z,124,A,1,2545.6000813802084,1233.8146955578693
250_Z,150,A,1,2511.58833582261,1429.171420018609
250_Z,88,A,1,2544.533479817708,0.0
350_Z,123,A,1,3430.0589815027574,149.75863664065423
350_Z,126,A,1,3569.0001579733457,1216.4126284321896
350_Z,133,A,1,3449.82368738511,145.79875362598807
350_Z,150,A,1,3545.866796875,784.8183911902229
350_Z,86,A,1,3635.7648782169117,0.0
451_Z,123,A,1,4561.823701746323,378.37726492210686
451_Z,127,A,1,4501.117819393382,187.11798155544875
451_Z,132,A,1,4543.353285845588,1197.545515271851
451_Z,145,A,1,4577.823787913603,968.2889801799415
451_Z,83,A,1,4629.941348805147,527.8088371987648
