situation,letter,person_index,depth,height
250_350_550,A,1,1620.8815288183685,1027.5178407668639
250_350_550,A,2,2483.5778962197605,742.2863943020405
250_350_550,A,3,2058.2647670078723,943.7913908873484
250_500_350,A,1,1641.5579769146216,1076.88180958051
250_500_350,A,2,2468.0325190590106,741.9214305337266
250_500_350,A,3,2040.588672665777,870.4460739982588
300_250,A,1,1973.672890088304,984.2768827086302
300_250,A,2,1599.1878337017167,1082.3867115947512
300_250,B,1,1575.2254733890954,984.7821008524998
300_250,B,2,1884.9814488903808,1003.8554402972463
300_550,A,1,1696.3434134641764,1030.8960438036615
300_550,A,2,2491.404123065772,744.1682272297752
300_600_400,A,1,1947.7585463007883,966.9886542097618
300_600_400,A,2,2225.093118191289,911.646239038558
300_600_400,A,3,2741.2079537531995,659.9872158031851
350_600_450,A,1,2085.0636795819587,913.1798093918599
350_600_450,A,2,2197.828347061238,826.3713076615437
350_600_450,A,3,2746.783743526316,752.2457008239965
400_250_600,A,1,1617.4561596765693,1058.7634508596489
400_250_600,A,2,2188.6061850722685,860.6014756881538
400_250_600,A,3,2723.219306640892,598.7599325160508
450_300,A,1,1835.343539341972,1008.6415656721447
450_300,A,2,2349.5725344940565,865.0315761630008
450_550_450,A,1,2413.36750264558,820.3121740830297
450_550_450,A,2,2615.8995982597316,783.6262647230647
450_550_450,A,3,2333.766309044532,792.4069448554064
500_250,A,1,1573.0036515090292,1103.2028842483855
500_250,A,2,2502.778653882782,789.8900736338494
500_250,B,1,2546.810422840966,792.2979368303176
500_250,B,2,1580.1822247254056,965.8627369048345
500_500_500,A,1,2489.68776007795,781.3944885979481
500_500_500,A,2,2491.7833352325765,811.4987398939601
500_500_500,A,3,2479.8875161913334,740.0320551747136
600_250,A,1,1579.9956201652324,1046.0333889370334
600_250,A,2,2738.7661900626745,660.2047708103865
600_250,B,1,1580.8682780790282,976.8943494723637
600_250,B,2,2728.7421402276277,738.3028526455213
600_350_250,A,1,1627.481729192821,966.5938132968811
600_350_250,A,2,2776.477957014456,722.3733031774033
600_350_250,A,3,2058.079306733981,963.1005641720983
