situation,letter,person_index,depth,height
250_350_550,A,1,1611.773358777538,1026.6200031564852
250_350_550,A,2,2477.4973177783827,738.0180931273047
250_350_550,A,3,2055.8382984726427,936.3122015893205
250_500_350,A,1,1638.3903199060503,1067.2119596196158
250_500_350,A,2,2496.744522141056,742.5436040737013
250_500_350,A,3,2033.5692959937435,865.8193309106011
300_250,A,1,1908.2767580709535,975.5213110121748
300_250,A,2,1597.829080417852,1082.9146543677673
300_250,B,1,1568.4622138013683,969.4696538195662
300_250,B,2,1879.5565613271017,1002.3283801747506
300_550,A,1,1724.8541106632922,1017.9112770414467
300_550,A,2,2482.328251485378,739.3774983172384
300_600_400,A,1,1892.8352895750218,958.0356859381255
300_600_400,A,2,2248.6730411634567,907.8214014787499
300_600_400,A,3,2736.1500598376615,652.3443365436086
350_600_450,A,1,2027.1558797232133,906.7983590650219
350_600_450,A,2,2190.639389358545,821.8025261095527
350_600_450,A,3,2729.5989265689705,746.1093186744013
400_250_600,A,1,1615.8721388771248,1048.9352159479547
400_250_600,A,2,2237.1581065257833,852.2762445207711
400_250_600,A,3,2718.700218319597,601.7594673883342
450_300,A,1,1821.2739449289654,990.0232851903809
450_300,A,2,2348.6531054547377,860.9100950754831
450_550_450,A,1,2406.4261912980505,817.2109296666413
450_550_450,A,2,2621.53040187452,781.7824879171358
450_550_450,A,3,2329.399630228389,787.3166758435302
500_250,A,1,1561.846945649198,1076.488350920971
500_250,A,2,2481.565836224285,780.9938894369266
500_250,B,1,2527.7669350123324,787.5297719366793
500_250,B,2,1572.347753861856,960.2320597557198
500_500_500,A,1,2499.9354260249183,773.2801637016689
500_500_500,A,2,2488.0297037413734,807.1892317387732
500_500_500,A,3,2473.4295907974947,735.9201861499627
600_250,A,1,1588.3447430694735,1036.8290957708864
600_250,A,2,2724.079830738918,650.5358419170617
600_250,B,1,1577.6628699763517,961.8370610614385
600_250,B,2,2726.326588440963,727.989603423664
600_350_250,A,1,1620.8765838946845,953.5204046002818
600_350_250,A,2,2768.443482432747,719.3154107014371
600_350_250,A,3,2054.906319905838,953.3900847857303
