situation,letter,person_index,depth,height
250_350_550,A,1,2148.3148111979167,1312.9066772460938
250_350_550,A,2,3835.751643880208,1114.0307922363281
250_350_550,A,3,2923.20029296875,1301.7161560058594
250_500_350,A,1,2172.352115885417,1405.20947265625
250_500_350,A,2,3840.216845703125,1113.5325012207031
250_500_350,A,3,2841.490543619792,1197.2992248535156
300_250,A,1,2614.0084838867188,1358.7074279785156
300_250,A,2,2089.2976888020835,1406.747314453125
300_250,B,1,2044.955924987793,1260.6764221191406
300_250,B,2,2591.1034016927083,1360.3269348144531
300_550,A,1,2156.2083587646484,1335.1031188964844
300_550,A,2,3832.5658040364583,1114.0014190673828
300_600_400,A,1,2615.4830078125,1298.5599365234375
300_600_400,A,2,3357.757209329044,579.1689758300781
300_600_400,A,3,4409.150260416666,1018.1224822998047
350_600_450,A,1,2881.7828776041665,1246.6508178710938
350_600_450,A,2,3186.7989095052085,1178.0192413330078
350_600_450,A,3,4544.12060546875,1221.6418762207031
400_250_600,A,1,2139.2388997395833,1358.8182678222656
400_250_600,A,2,3202.240036010742,1216.1584167480469
400_250_600,A,3,4419.1259765625,925.7121896743774
450_300,A,1,2477.449462890625,1357.8700256347656
450_300,A,2,3527.213330078125,1233.9856262207031
450_550_450,A,1,3556.2433268229165,1162.8913879394531
450_550_450,A,2,4242.993149701287,913.1721496582031
450_550_450,A,3,3425.4857003348216,1147.2850646972656
500_250,A,1,2063.0564036649816,1389.3156127929688
500_250,A,2,3931.493293313419,1223.0464782714844
500_250,B,1,3861.587589039522,1191.8146057128906
500_250,B,2,2049.3880920410156,1254.3568115234375
500_500_500,A,1,3889.9176240808824,1177.6938018798828
500_500_500,A,2,3847.244189453125,1220.2600402832031
500_500_500,A,3,3799.3564615885416,1119.1357421875
600_250,A,1,2839.9714858111215,
600_250,A,2,4520.0369059244795,410.2093048095703
600_250,B,1,2053.3966217041016,1241.8516540527344
600_250,B,2,4497.223937988281,843.2650604248047
600_350_250,A,1,2117.2768936157227,1245.2650146484375
600_350_250,A,2,4509.258903952206,1138.342041015625
600_350_250,A,3,2927.749755859375,1350.0537414550781
