situation,letter,person_index,depth,height
250_350_550,A,1,2567.266780598958,2214.0273083150437
250_350_550,A,2,3630.33349609375,2254.618752449757
250_350_550,A,3,5234.33369140625,2104.789543589859
250_500_350,A,1,2602.9333984375,2292.375396582239
250_500_350,A,2,3630.066861979167,2087.5020224332247
250_500_350,A,3,5246.882582720588,2136.5209470493687
300_250,A,1,3161.6002115885417,2202.4126307248093
300_250,A,2,2463.33349609375,2253.61809350617
300_250,B,1,3166.0002278645834,2278.6782741604916
300_250,B,2,2409.9334798177083,2028.3817984365608
300_550,A,1,2583.6667317708334,2183.253248163922
300_550,A,2,5221.066796875,1630.2897040888502
300_600_400,A,1,3175.933561197917,2226.8157424987667
300_600_400,A,2,4225.687683105469,2290.9951896348975
300_600_400,A,3,6329.000455729167,2119.742825182232
350_600_450,A,1,3549.0001139322917,1644.3365358316714
350_600_450,A,2,4181.5333984375,2151.2686847425734
350_600_450,A,3,6287.882755055147,1719.1345340676946
400_250_600,A,1,2529.20009765625,2256.112709536096
400_250_600,A,2,4097.200227864583,2232.5685252817048
400_250_600,A,3,6238.750335693359,1016.8185254590396
450_300,A,1,3076.666780598958,2214.278348840408
450_300,A,2,4572.93349609375,1644.2416927474965
450_550_450,A,1,4630.066927083333,2167.5192410914265
450_550_450,A,2,5771.4669921875,1073.459020582594
450_550_450,A,3,4558.000162760417,2091.1114470840057
500_250,A,1,2464.800081380208,2061.3141289530313
500_250,A,2,5318.882553998162,1913.3755872920583
500_250,B,1,2460.4668131510416,2306.726073039933
500_250,B,2,5242.235495174632,1510.529053140056
500_500_500,A,1,5306.250152587891,2244.153748500511
500_500_500,A,2,5353.266927083333,2148.764075014188
500_500_500,A,3,5289.000227864583,1098.5910648884549
600_250,A,1,2484.266813151042,2054.0924341362515
600_250,A,2,6274.625427246094,2304.878250503255
600_250,B,1,2471.7335123697917,2200.7718357486424
600_250,B,2,6266.000396728516,2304.940038662324
600_350_250,A,1,2583.0001139322917,2082.2015233035563
600_350_250,A,2,3619.266796875,1619.6741903067875
600_350_250,A,3,6300.400423177083,2237.553384038021
