situation,letter,person_index,depth,height
250,A,1,1627.9395277050446,1087.610236330109
250,B,1,1622.894229638011,1062.331240331638
250,C,1,1611.2469445593053,985.6219583363907
300,A,1,1862.3647838497245,1035.6865438257992
300,B,1,1877.248433549331,991.352457642744
300,C,1,1861.284792415822,908.8489523097938
350,A,1,2051.806247852152,972.3200648243121
350,B,1,2069.9508215831456,934.08858595794
350,C,1,2038.1762523041602,886.9137926824413
400,A,1,2219.7184686623546,921.6171731967581
400,B,1,2271.49094060128,905.3942653486175
400,C,1,2227.0577482592953,833.415638197978
450,A,1,2384.4331885938727,875.3846233958533
450,B,1,2442.212895009892,851.5922275580604
450,C,1,2393.3554280707517,783.8176644178145
500,A,1,2521.936311299827,832.2822652776708
500,B,1,2557.444046979174,802.5019540652062
500,C,1,2526.652053518169,766.4068472410629
550,A,1,2669.0190246640777,822.5521424455808
550,B,1,2697.296776253088,774.6664850414281
550,C,1,2660.2069426519033,733.6738538749019
600,A,1,2787.1978619903116,754.3096530470795
600,B,1,2809.3235548080997,741.4115686188889
600,C,1,2780.2147727377137,683.2964186526998
