situation,letter,person_index,depth,height
250,A,1,1623.9412288663227,1081.8571412455397
250,B,1,1619.3464072389093,1049.1021402784922
250,C,1,1601.9536346330913,972.2297496781873
300,A,1,1857.9113058023102,1024.1345503559173
300,B,1,1931.9989049091823,756.0050519136646
300,C,1,1858.1599721156958,904.4515467849113
350,A,1,2038.7735384449136,966.3892781328138
350,B,1,2062.1715792539153,918.4329373166731
350,C,1,2033.1146676710393,887.0124867775846
400,A,1,2214.9091768842113,916.8644092369595
400,B,1,2214.9283847350616,897.9498028732692
400,C,1,2225.9944041941667,863.3711498675409
450,A,1,2380.894203942187,864.5259578858626
450,B,1,2398.313744152769,842.5195875400094
450,C,1,2387.2689238463104,778.0761832457392
500,A,1,2516.4878318085775,828.0967678494121
500,B,1,2539.4592098201897,798.6639571148481
500,C,1,2519.185979225355,765.8008322598176
550,A,1,2662.0370563998226,815.3424267545702
550,B,1,2698.4290871903418,775.5087994802599
550,C,1,2660.1490773278156,729.5015200868056
600,A,1,2793.021454089348,747.960763448273
600,B,1,2821.6358627744257,736.5767726337708
600,C,1,2781.1351783969403,675.6328899222053
