situation,letter,person_index,depth,height
250,A,1,2137.1224446614583,1396.9355773925781
250,B,1,2138.072265625,1365.9730529785156
250,C,1,2105.8223388671877,1270.9644470214844
300,A,1,2532.291536458333,1360.4106140136719
300,B,1,3334.7889619715074,
300,C,1,2542.824234008789,1215.4233703613281
350,A,1,2881.471647135417,1347.3500671386719
350,B,1,2926.3304901123047,1275.4382934570312
350,C,1,2883.5439290364584,1239.4386596679688
400,A,1,3246.6108561197916,1337.2513732910156
400,B,1,3245.2809771369484,1281.9006652832031
400,C,1,3257.2774658203125,1175.3821716308594
450,A,1,3608.7434895833335,1280.225830078125
450,B,1,3589.713264016544,1259.8611755371094
450,C,1,3638.821843927557,1162.6585388183594
500,A,1,3928.0296161358174,1106.6752319335938
500,B,1,3938.9413057215074,1230.7659606933594
500,C,1,3915.5,881.8530731201172
550,A,1,4286.174129710478,1307.3563232421875
550,B,1,4274.465676700368,1203.2964172363281
550,C,1,4208.529739379883,847.6738433837891
600,A,1,4604.250183105469,1231.3831787109375
600,B,1,4597.11416015625,1207.0099182128906
600,C,1,4558.816722196691,330.8771734237671
