situation,letter,person_index,depth,height
250,A,1,2227.685860770089,1419.4329223632812
250,B,1,2179.8907552083333,1372.0972290039062
250,C,1,2105.2040201822915,1257.4446716308594
300,A,1,2579.4280924479167,1378.2248229980469
300,B,1,2664.1349182128906,1358.6067504882812
300,C,1,2561.6119079589844,1237.4906311035156
350,A,1,2940.4767252604165,1346.1553039550781
350,B,1,3043.292365579044,988.32958984375
350,C,1,2894.513704427083,1238.7712097167969
400,A,1,3278.778987630208,1320.1415405273438
400,B,1,3356.8438361672793,1293.8877563476562
400,C,1,3271.9896521935098,1221.3526763916016
450,A,1,3643.538639322917,1287.5813903808594
450,B,1,3670.0973259420957,1257.0298461914062
450,C,1,3619.702826605903,1162.8714141845703
500,A,1,4005.8458345853364,1287.6529846191406
500,B,1,4013.4569244384766,1229.7426147460938
500,C,1,3919.9095001220703,1138.7051391601562
550,A,1,4357.6337890625,1299.2574768066406
550,B,1,4408.095099954044,1044.0575065612793
550,C,1,4236.9259765625,1136.560562133789
600,A,1,4663.311295572917,1239.3738708496094
600,B,1,4682.908538818359,1222.0372467041016
600,C,1,4593.782897949219,498.44004821777344
