situation,letter,person_index,depth,height
250,A,1,2478.333447265625,1496.4390961133047
250,B,1,2513.600065104167,2290.9946194129056
250,C,1,2495.6001139322916,2196.221461535305
300,A,1,3138.800227864583,2306.996678013231
300,B,1,3155.400244140625,2196.9085626000033
300,C,1,3150.3334798177084,2093.6566153316626
350,A,1,3537.466861979167,2279.133803870775
350,B,1,3654.600146484375,2232.440085037607
350,C,1,3542.933528645833,1536.7175677165135
400,A,1,4131.666748046875,2312.682779632829
400,B,1,4167.400130208333,2249.018938040501
400,C,1,4154.266796875,1591.2512638820237
450,A,1,4580.333756510417,2319.5067266541473
450,B,1,4603.400260416666,2211.288986649768
450,C,1,4625.600390625,1020.3758890715596
500,A,1,5259.200130208334,2329.245462662433
500,B,1,5238.26689453125,2272.1073103612666
500,C,1,5279.533561197916,2137.8867215269693
550,A,1,5879.70614085478,2314.6460971619094
550,B,1,5858.235667509191,1889.935248884528
550,C,1,5909.266927083333,710.502874784866
600,A,1,6281.73369140625,2290.9718331488302
600,B,1,6236.2669921875,2278.973302706945
600,C,1,6323.00048828125,2098.419239719858
