situation,letter,person_index,depth,height
250_350_550,A,1,1620.8815288183685,801.858241278664
250_350_550,A,2,2483.5778962197605,571.2929237620596
250_350_550,A,3,2058.2647670078723,730.7924500526307
250_500_350,A,1,1641.5579769146216,839.9484914886725
250_500_350,A,2,2468.0325190590106,570.9566803087174
250_500_350,A,3,2040.588672665777,674.2833430800046
300_250,A,1,1973.672890088304,764.4889799450176
300_250,A,2,1599.1878337017167,845.5963708278011
300_250,B,1,1575.2254733890954,769.5203800693411
300_250,B,2,1884.9814488903808,779.7783398084251
300_550,A,1,1696.3434134641764,804.6652711984106
300_550,A,2,2491.404123065772,572.7569085363662
300_600_400,A,1,1947.7585463007883,751.1155649602255
300_600_400,A,2,2225.093118191289,704.7123329801582
300_600_400,A,3,2741.2079537531995,506.05800093819585
350_600_450,A,1,2085.0636795819587,707.6085997130203
350_600_450,A,2,2197.828347061238,638.6807090709651
350_600_450,A,3,2746.783743526316,577.003464815894
400_250_600,A,1,1617.4561596765693,826.6717113992205
400_250_600,A,2,2188.6061850722685,665.0466705713885
400_250_600,A,3,2723.219306640892,459.32316179270924
450_300,A,1,1835.343539341972,784.2942790825355
450_300,A,2,2349.5725344940565,666.7505292624791
450_550_450,A,1,2413.36750264558,632.3902301167495
450_550_450,A,2,2615.8995982597316,602.0156985191938
450_550_450,A,3,2333.766309044532,611.1675549073004
500_250,A,1,1573.0036515090292,862.3527797720526
500_250,A,2,2502.778653882782,607.599668400595
500_250,B,1,2546.810422840966,609.7788710176027
500_250,B,2,1580.1822247254056,754.898007112821
500_500_500,A,1,2489.68776007795,601.3471128828204
500_500_500,A,2,2491.7833352325765,624.4465477429912
500_500_500,A,3,2479.8875161913334,569.6159938577483
600_250,A,1,1579.9956201652324,817.5202335148357
600_250,A,2,2738.7661900626745,506.29079306118376
600_250,B,1,1580.8682780790282,763.1486052952578
600_250,B,2,2728.7421402276277,566.2418303259433
600_350_250,A,1,1627.481729192821,754.4439410621414
600_350_250,A,2,2773.3816182139967,554.0785789252323
600_350_250,A,3,2058.079306733981,746.0504161145936
