situation,letter,person_index,depth,height
250_350_550,A,1,1610.7426069551582,801.187625707495
250_350_550,A,2,2488.049498053553,568.0975929306586
250_350_550,A,3,2055.859075130363,725.1954539585058
250_500_350,A,1,1638.3836104853815,832.6578399940952
250_500_350,A,2,2496.806898747506,571.4108258302967
250_500_350,A,3,2033.5559210401725,670.8138858541529
300_250,A,1,1908.268057926679,757.9173341614068
300_250,A,2,1597.8204941773013,845.9946094109666
300_250,B,1,1568.4629147268572,757.9490435230073
300_250,B,2,1879.5578419679994,778.6293770967936
300_550,A,1,1724.8512465202425,794.3266861216318
300_550,A,2,2482.3081176327687,569.1733655342043
300_600_400,A,1,1892.8310060996832,744.38916589437
300_600_400,A,2,2248.6986427894244,701.7504005854717
300_600_400,A,3,2736.1674359847752,500.39696974678736
350_600_450,A,1,2027.173663699798,702.8054662706195
350_600_450,A,2,2190.6640295308835,635.2594323303258
350_600_450,A,3,2729.60853199419,572.466479062734
400_250_600,A,1,1615.8536379106015,819.2355134106458
400_250_600,A,2,2237.1526823288223,658.8870934566385
400_250_600,A,3,2717.192789053272,461.54066416778494
450_300,A,1,1821.265685126257,770.296353245278
450_300,A,2,2348.630001212668,663.747891508573
450_550_450,A,1,2406.428359063277,630.0829839113851
450_550_450,A,2,2621.5400174864308,600.4812613730786
450_550_450,A,3,2329.415477569323,607.3730741694021
500_250,A,1,1561.8450235144953,842.1567670169406
500_250,A,2,2481.584735592796,600.9966283951836
500_250,B,1,2527.816943947945,606.2382724275977
500_250,B,2,1572.365327559687,750.664373983485
500_500_500,A,1,2494.2516720943786,595.3050831612894
500_500_500,A,2,2488.0258937447734,621.2640732425366
500_500_500,A,3,2473.483816029245,566.5696051753581
600_250,A,1,1588.3409841985592,810.5699162435491
600_250,A,2,2724.127868151453,499.12107071872424
600_250,B,1,1577.668079009283,751.7836673667946
600_250,B,2,2726.3233784258728,558.5696471545551
600_350_250,A,1,1620.8681811616216,744.5792942974646
600_350_250,A,2,2763.6569071046697,551.8209823476878
600_350_250,A,3,2054.899529626773,738.5757678300911
