situation,letter,person_index,depth,height
250_350_550,A,1,2148.3148111979167,1015.2657494203888
250_350_550,A,2,3835.751643880208,845.0573585444172
250_350_550,A,3,2923.20029296875,996.1691858996207
250_500_350,A,1,2172.352115885417,1085.2768738017987
250_500_350,A,2,3848.5177459716797,844.5959025726604
250_500_350,A,3,2841.490543619792,916.797650124823
300_250,A,1,2616.0484260110293,1043.3012695543941
300_250,A,2,2089.2976888020835,1088.4083997561859
300_250,B,1,2044.955924987793,976.1087491187773
300_250,B,2,2591.1034016927083,1045.0323053363388
300_550,A,1,2156.286692899816,1032.1388615705284
300_550,A,2,3832.5658040364583,845.035826096909
300_600_400,A,1,2615.4830078125,998.0403105490486
300_600_400,A,2,3357.757209329044,441.46445100173815
300_600_400,A,3,4443.060970052084,768.6076489671842
350_600_450,A,1,2881.7828776041665,954.6930388170147
350_600_450,A,2,3186.7989095052085,898.899482339109
350_600_450,A,3,4544.12060546875,921.1206132704951
400_250_600,A,1,2139.2388997395833,1051.0616876027732
400_250_600,A,2,3201.7556439568016,928.1484785586593
400_250_600,A,3,4419.1259765625,699.1080401557805
450_300,A,1,2477.449462890625,1044.184549699391
450_300,A,2,3527.213330078125,938.9472049881127
450_550_450,A,1,3556.2433268229165,884.7527946127904
450_550_450,A,2,4242.993149701287,690.1627023749435
450_550_450,A,3,3425.4857003348216,873.0130054880734
500_250,A,1,2063.0564036649816,1076.6616510273989
500_250,A,2,3931.493293313419,926.278640851986
500_250,B,1,3861.587589039522,903.9842979355387
500_250,B,2,2049.3880920410156,970.6944178992442
500_500_500,A,1,3889.9176240808824,893.1561789828753
500_500_500,A,2,3847.244189453125,925.4078402597631
500_500_500,A,3,3799.3564615885416,848.7996170222151
600_250,A,1,2839.9714858111215,
600_250,A,2,4520.0369059244795,309.5590270243588
600_250,B,1,2057.3202981387867,961.4284472225136
600_250,B,2,4497.223937988281,636.5526563263488
600_350_250,A,1,2117.2768936157227,962.8704666666505
600_350_250,A,2,4509.258903952206,859.1595867948945
600_350_250,A,3,2927.749755859375,1033.0947055926185
