situation,letter,person_index,depth,height
250_350_550,A,1,2241.22514073989,788.4021008678642
250_350_550,A,2,3826.4358723958335,844.7767318298264
250_350_550,A,3,2968.3481282552084,989.6003380149025
250_500_350,A,1,2220.181787109375,1073.4178961606
250_500_350,A,2,3894.9699358258927,870.8400612923336
250_500_350,A,3,2846.685616629464,918.398336026571
300_250,A,1,2844.4560546875,371.5609372364633
300_250,A,2,2127.4140462239584,1086.339073961363
300_250,B,1,2055.040071614583,987.5072300377316
300_250,B,2,2662.292190551758,1049.792765409496
300_550,A,1,2299.23344152114,515.3671411219759
300_550,A,2,3841.812288411458,850.5610556707541
300_600_400,A,1,2707.5251177619484,766.8154539578035
300_600_400,A,2,3371.961612477022,362.05907624367865
300_600_400,A,3,4462.9962815504805,787.935043478953
350_600_450,A,1,2994.442692057292,757.2734458008829
350_600_450,A,2,3202.5657784598216,905.3509307131023
350_600_450,A,3,4493.085174560547,902.5141618014435
400_250_600,A,1,2151.66279296875,1048.0971807799997
400_250_600,A,2,3354.902572631836,729.5998258608565
400_250_600,A,3,4415.3753662109375,700.5905545109521
450_300,A,1,2611.446834788603,1034.985613801347
450_300,A,2,3587.15224609375,978.55089553208
450_550_450,A,1,3701.906551585478,713.5205884884574
450_550_450,A,2,4283.662095013787,925.6693946120586
450_550_450,A,3,3576.9923553466797,632.0608296496766
500_250,A,1,2105.0783045151657,1094.9855563033707
500_250,A,2,3950.511295572917,904.0418285295968
500_250,B,1,4054.8014275045957,0.0
500_250,B,2,2061.089553833008,965.5866301974816
500_500_500,A,1,3977.9759979248047,904.7259312254325
500_500_500,A,2,3878.24013671875,941.8583307770102
500_500_500,A,3,3819.872981770833,846.1436668935924
600_250,A,1,2136.0170036764707,1036.223200214336
600_250,A,2,4580.064697265625,653.8984248421294
600_250,B,1,2062.734146118164,985.9020476662001
600_250,B,2,4575.351806640625,899.6891413789724
600_350_250,A,1,2124.432662963867,964.7277374060712
600_350_250,A,2,4592.561896829044,674.7798768740523
600_350_250,A,3,2928.13603515625,1026.7042675291414
