situation,letter,person_index,depth,height
250_350_550,A,1,2567.266780598958,1701.0308723957105
250_350_550,A,2,3630.33349609375,1712.777191292253
250_350_550,A,3,5234.33369140625,1579.9290673959836
250_500_350,A,1,2602.9333984375,1760.701493390744
250_500_350,A,2,3630.066861979167,1585.5104522694296
250_500_350,A,3,5246.882582720588,1604.4050693924273
300_250,A,1,3161.6002115885417,1680.7168346665746
300_250,A,2,2463.33349609375,1734.4014312514767
300_250,B,1,3166.0002278645834,1738.7791463546541
300_250,B,2,2409.9334798177083,1560.9879603546315
300_550,A,1,2583.6667317708334,1677.3319170850514
300_550,A,2,5221.066796875,1223.5979039884448
300_600_400,A,1,3175.933561197917,1698.966266324847
300_600_400,A,2,4224.823701746323,1732.3382559231
300_600_400,A,3,6329.000455729167,1580.923065146822
350_600_450,A,1,3549.0001139322917,1250.2299085633801
350_600_450,A,2,4181.5333984375,1626.1713154888594
350_600_450,A,3,6287.882755055147,1282.3647489125724
400_250_600,A,1,2529.20009765625,1734.8261872977928
400_250_600,A,2,4097.200227864583,1689.1160410645602
400_250_600,A,3,6265.470932904412,1562.771711256458
450_300,A,1,3076.666780598958,1691.6427674655536
450_300,A,2,4572.93349609375,1240.1663539618216
450_550_450,A,1,4630.066927083333,1633.95524303695
450_550_450,A,2,5771.4669921875,803.2613171553825
450_550_450,A,3,4558.000162760417,1576.44236381484
500_250,A,1,2464.800081380208,1585.4726784023726
500_250,A,2,5318.882553998162,1435.2136885481518
500_250,B,1,2460.4668131510416,1775.9358182470278
500_250,B,2,5242.235495174632,1134.0051296166105
500_500_500,A,1,5312.058967141544,1678.7480981701274
500_500_500,A,2,5353.266927083333,1612.244562222098
500_500_500,A,3,5289.000227864583,824.7297970079007
600_250,A,1,2484.266813151042,1579.5933663541807
600_250,A,2,6281.823960248162,1720.1352418875013
600_250,B,1,2471.7335123697917,1693.3710845168312
600_250,B,2,6262.118049172794,1720.179809189446
600_350_250,A,1,2583.0001139322917,1599.418867848478
600_350_250,A,2,3619.266796875,1230.9520441812972
600_350_250,A,3,6300.400423177083,1668.8519215370352
