situation,letter,person_index,depth,height
250,A,1,1627.9395277050446,849.1607105085651
250,B,1,1622.894229638011,829.406413095088
250,C,1,1611.2469445593053,769.4407142275076
300,A,1,1862.3647838497245,804.757040296403
300,B,1,1877.248433549331,770.4376601160352
300,C,1,1861.284792415822,706.1382958457432
350,A,1,2051.806247852152,753.1127225807195
350,B,1,2069.9508215831456,723.4231697708314
350,C,1,2038.1762523041602,687.0921892692891
400,A,1,2219.7184686623546,711.9884222840609
400,B,1,2271.49094060128,699.5295546148557
400,C,1,2227.0577482592953,643.7693609297244
450,A,1,2384.4331885938727,674.5860493428089
450,B,1,2442.212895009892,656.3080950571001
450,C,1,2393.3554280707517,603.8474068039327
500,A,1,2521.936311299827,640.1601493841381
500,B,1,2557.444046979174,617.3674641496725
500,C,1,2526.652053518169,589.4232609397963
550,A,1,2669.0190246640777,631.4549679225231
550,B,1,2697.296776253088,594.9562544005039
550,C,1,2660.2069426519033,563.2295167782579
600,A,1,2787.1978619903116,578.2474747763956
600,B,1,2809.3235548080997,568.4029967805488
600,C,1,2780.2147727377137,523.6881069310664
