situation,letter,person_index,depth,height
250,A,1,1623.9370381729905,844.8205201196439
250,B,1,1619.3476099602626,819.4243701851785
250,C,1,1601.9407590481912,759.3349931871655
300,A,1,1857.908791071787,796.0783073029305
300,B,1,1932.0171656622585,587.4995912139092
300,C,1,1858.1294597163385,702.8327564375869
350,A,1,2038.76180306614,748.6560675810779
350,B,1,2062.1853131281314,711.6056423812645
350,C,1,2033.1165855522986,687.1698072891447
400,A,1,2214.9096871539077,708.4194707158787
400,B,1,2214.912892741327,693.6698621844768
400,C,1,2225.9706244306703,666.1225971335105
450,A,1,2380.9280138083714,666.4958638579155
450,B,1,2398.302989274522,649.5431085388791
450,C,1,2387.2954123996346,599.6870592647016
500,A,1,2516.457861684456,636.9497197815998
500,B,1,2539.715319603409,614.5060185855525
500,C,1,2519.131447946245,589.1126666467987
550,A,1,2662.0363600952546,626.105794089053
550,B,1,2698.469903259435,595.5766710144595
550,C,1,2660.1248889376225,560.1372146400627
600,A,1,2793.043732670288,573.5488306090734
600,B,1,2821.660777106003,564.8192222974633
600,C,1,2781.19686433763,518.0493383295662
