situation,letter,person_index,depth,height
250,A,1,2137.1224446614583,1080.5836095104712
250,B,1,2138.072265625,1056.574404560114
250,C,1,2105.8223388671877,982.8926322058173
300,A,1,2532.291536458333,1046.3913573461539
300,B,1,3334.7889619715074,
300,C,1,2546.9685202205883,924.4254023790668
350,A,1,2881.471647135417,1031.3196824960544
350,B,1,2923.2878130744484,976.6536266782814
350,C,1,2881.413848876953,948.6323576950824
400,A,1,3245.2994995117188,1019.4377869856938
400,B,1,3245.2809771369484,977.8313636424532
400,C,1,3257.2774658203125,896.7100606037933
450,A,1,3608.7434895833335,973.1128997600456
450,B,1,3589.713264016544,957.1612967045913
450,C,1,3635.024698893229,883.1543411014884
500,A,1,3928.0296161358174,838.410428081685
500,B,1,3938.9413057215074,932.4244181901762
500,C,1,3926.3684997558594,668.1719911027567
550,A,1,4286.174129710478,987.2794220037579
550,B,1,4274.465676700368,909.0572398053891
550,C,1,4217.63032801011,640.8406099013077
600,A,1,4609.816262637868,927.6441834178821
600,B,1,4597.9329833984375,909.5490132624443
600,C,1,4558.816722196691,249.37519188855785
