situation,letter,person_index,depth,height
250,A,1,2180.3534016927083,1097.392941355373
250,B,1,2179.8907552083333,1061.152440169064
250,C,1,2105.2040201822915,972.782852067457
300,A,1,2579.4280924479167,1059.6323993532333
300,B,1,2664.1349182128906,1043.8222491135307
300,C,1,2564.0458122702207,950.7306435807557
350,A,1,2940.4767252604165,1030.43654742517
350,B,1,3043.292365579044,755.7478740296649
350,C,1,2890.0174560546875,948.1388102087451
400,A,1,3278.778987630208,1006.832733155786
400,B,1,3356.8438361672793,986.092978968336
400,C,1,3271.9896521935098,930.5891813549433
450,A,1,3643.538639322917,978.4257398876503
450,B,1,3670.0973259420957,955.2645412048822
450,C,1,3619.702826605903,883.3105597447654
500,A,1,4005.8458345853364,975.1597942149085
500,B,1,4013.4569244384766,931.7740537698364
500,C,1,3919.9095001220703,863.429952305863
550,A,1,4357.6337890625,981.3681742586186
550,B,1,4408.095099954044,788.2950760140175
550,C,1,4241.481353759766,858.8307505395503
600,A,1,4663.311295572917,933.5779364421644
600,B,1,4684.8388671875,920.4913610740064
600,C,1,4593.782897949219,376.0060803916027
