situation,letter,person_index,depth,height
250,A,1,2478.333447265625,1151.8296795159772
250,B,1,2513.600065104167,1761.8894206096934
250,C,1,2495.6001139322916,1689.1609877109486
300,A,1,3138.800227864583,1761.599115733278
300,B,1,3155.400244140625,1677.811786280322
300,C,1,3150.3334798177084,1597.6574782816192
350,A,1,3537.466861979167,1732.3957354898748
350,B,1,3654.600146484375,1695.7609332982818
350,C,1,3542.933528645833,1168.5547427326978
400,A,1,4131.666748046875,1748.5249961989032
400,B,1,4167.400130208333,1700.6398339316759
400,C,1,4154.266796875,1203.569128677786
450,A,1,4580.333756510417,1748.1880359855147
450,B,1,4603.400260416666,1666.9509449051388
450,C,1,4625.600390625,769.2303805237403
500,A,1,5259.200130208334,1748.603549284995
500,B,1,5238.187744140625,1705.6918920865605
500,C,1,5279.533561197916,1603.9290633858325
550,A,1,5879.70614085478,1730.775548229365
550,B,1,5858.235667509191,1413.3587850037936
550,C,1,5909.266927083333,531.4116140769584
600,A,1,6265.823902803309,1709.3644749599266
600,B,1,6236.2669921875,1700.4639999944116
600,C,1,6323.00048828125,1565.0470148995441
