situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,1943.181908741482,1905.491004423598,
150_bodyside_variant,1904.0301140419092,1874.648668640863,
150_500,1897.006756650849,1871.2401075040236,
200_front,1893.8830125983222,1872.6133994585964,
200_shaking_hands_variant,1901.940564338121,1985.0994956858844,
200_400_front,1940.6636275447343,1930.0029664575964,
200_400_sitdown,2118.843676383424,1903.6158541686693,
200_400_sitdown_side_variant,2077.968958801337,1892.5921296017489,
250_front,2070.700452321512,1876.0854241127179,
250_oneback_one_front_variant,1936.3964471386787,1909.957390186042,
250_side_variant,1983.2319035641483,1929.1048162425968,
250_350,1971.5981453142329,1931.6213446199542,
250_500,2028.8317042844274,1932.6479900391516,
250_600,2446.2832932911015,1899.2155838112844,
250_600_perspective_variant,1996.8806747062465,1914.0590740264643,
300_front,1971.0032572254192,1886.1648106525151,
350_front,1976.976647816647,1903.3630736614539,
350_side_variant,1969.5823262413646,1906.2763116930828,
400_front,1980.3820501173418,1909.5174296276302,
400_oneside_variant,2014.3792509790287,1882.683963079923,
400_120cm_h_variant,2018.1598866054026,1895.8926813194253,
450_front,2047.5689315073384,7867.289943351068,1911.2609140559002
450_600,2033.550956728664,1870.776821634682,
500_front,2007.372474864727,1837.188370960801,
500_oneside_variant,2016.452342782997,1810.536063800279,
550_front,1976.0633930623624,1988.8175913837906,
550_oneside_variant,2015.6680140417934,1844.580180323222,
600_front,1975.0815628395658,1804.2332451884013,
600_oneside_variant,1986.1262983068266,8836.71210612997,1817.9164237923362
