situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,110.4112818032356,111.38129465203872,
150_bodyside_variant,108.18668316003566,110.43477858173719,
150_500,107.78761712889327,110.76151339776773,
200_front,107.61012649700072,111.25158618146466,
200_shaking_hands_variant,108.0679552837885,112.79303231450274,
200_400_front,110.26819347289293,113.27283339653488,
200_400_sitdown,120.3923550326227,111.04458944811843,
200_400_sitdown_side_variant,118.0698601898695,111.44803437960839,
250_front,117.65686482714901,110.80770019726758,
250_oneback_one_front_variant,110.02573297230947,112.05485403874498,
250_side_variant,117.39485518733352,113.00357459084678,
250_350,112.02588776982444,113.36783293366986,
250_500,115.27788933469745,109.81274624611494,
250_600,138.99742111176914,107.91312233093761,
250_600_perspective_variant,113.46243700118696,108.7565270444743,
300_front,111.99208632482332,110.79827148194883,
350_front,112.33149341219996,111.70355588260433,636.7031273610163
350_side_variant,111.9113492561024,111.43387712229517,574.9400447696302
400_front,112.52498782020366,112.00119700190378,489.64098559116684
400_oneside_variant,114.456703275136,110.38328558498105,561.1072126090703
400_120cm_h_variant,114.67151838002201,473.712688112356,111.07710131814902
450_front,116.34253555531811,481.4480388815221,108.59753604746538
450_600,115.54603649538129,108.93689720169274,
500_front,114.05857938945749,106.56218927224282,
500_oneside_variant,114.574496016177,,
550_front,112.27960242475311,118.34445144453642,
550_oneside_variant,114.5299305839435,107.61506326914278,
600_front,112.22381499027537,,
600_oneside_variant,112.85137507337011,524.7417597314881,
