situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,194.3181908741482,190.54910044235982,
150_bodyside_variant,190.40301140419092,187.4648668640863,
150_500,189.7006756650849,187.12401075040236,
200_front,189.38830125983222,187.26133994585965,
200_shaking_hands_variant,190.1940564338121,198.50994956858844,
200_400_front,194.06636275447343,193.00029664575965,
200_400_sitdown,211.88436763834238,190.36158541686694,
200_400_sitdown_side_variant,207.79689588013372,189.2592129601749,
250_front,207.0700452321512,187.6085424112718,
250_oneback_one_front_variant,193.63964471386788,190.99573901860418,
250_side_variant,198.32319035641484,192.9104816242597,
250_350,197.15981453142328,193.16213446199544,
250_500,202.88317042844272,193.26479900391516,
250_600,244.62832932911016,189.92155838112845,
250_600_perspective_variant,199.68806747062465,191.40590740264642,
300_front,197.10032572254192,188.61648106525152,
350_front,197.6976647816647,190.33630736614538,
350_side_variant,196.95823262413646,190.62763116930827,
400_front,198.0382050117342,190.95174296276303,
400_oneside_variant,201.43792509790288,188.2683963079923,
400_120cm_h_variant,201.81598866054026,189.58926813194253,
450_front,204.75689315073384,786.7289943351068,191.12609140559002
450_600,203.3550956728664,187.07768216346818,
500_front,200.7372474864727,183.7188370960801,
500_oneside_variant,201.6452342782997,181.0536063800279,
550_front,197.60633930623624,198.88175913837907,
550_oneside_variant,201.56680140417933,184.4580180323222,
600_front,197.50815628395657,180.42332451884013,
600_oneside_variant,198.61262983068266,883.6712106129969,181.79164237923362
