situation,z_estimation_1,z_estimation_2
150_front,411.00408001969555,409.41214883899335
150_500,403.22369564377857,400.8247577184181
200_front,414.79975594856404,395.42089351673883
200_400_front,409.2669737503898,397.83920891346406
200_400_sitdown,418.54580887721585,402.4325805654619
200_400_sitdown_side_variant,415.97538154876366,403.2819440309598
250_front,413.00688732394053,398.5750547472002
250_oneback_one_front_variant,441.94903607376136,401.7290827513939
250_side_variant,397.180615968343,402.8688213018565
250_350,406.06651521272727,402.1933442486601
250_500,456.52209187325906,399.78571746654336
250_600,424.81338337907783,395.2712191789718
250_600_perspective_variant,362.1390009797092,401.45497719479715
300_front,441.95700399225655,393.1481248542672
350_front,426.4095562175213,396.7052035122729
350_side_variant,426.2554581143584,398.66900430153834
400_front,427.5615096779129,394.7646085946716
400_oneside_variant,424.43015022772477,394.5021772120337
400_120cm_h_variant,420.3545969775497,394.225673283372
450_front,417.6385925422237,399.5422738885083
450_side_variant,423.63277047281656,396.0599243472625
450_600,416.20108317260974,394.7808963215768
500_front,422.51355553717656,377.5392273899303
500_oneside_variant,421.2973909342883,395.61437375661296
550_front,420.58196447012807,382.2707839876423
550_oneside_variant,429.4382853351932,377.8242225219872
600_oneside_variant,434.3721885861819,353.45386116259107
