situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,244.43482971191406,,
150_bodyside_variant,209.52071033824575,223.09480667114258,
150_500,218.04883321126303,490.9401428222656,
200_front,212.72519165039063,,
200_shaking_hands_variant,227.1529337565104,215.364107131958,223.4469451904297
200_400_front,219.99354117257255,333.39160346984863,
250_front,217.07090029509172,327.78330993652344,
250_oneback_one_front_variant,207.74352629288384,,
250_side_variant,206.3534838358561,303.60008748372394,
250_350,218.3145067768712,,
250_500,208.82120840890067,301.76093101501465,
250_600,237.61487579345703,374.53663904526655,
250_600_perspective_variant,207.6103604634603,347.1720314025879,
300_front,219.52485384259904,,
350_front,257.6147959391276,,
350_side_variant,266.199216288905,,
400_front,276.82918259193156,,
400_oneside_variant,266.5958988584321,,
400_120cm_h_variant,278.6730055809021,,
400_200_sitdown,226.68528270721436,323.5736063639323,
400_200_sitdown_side_variant,212.50958578927177,337.01690673828125,
450_front,285.2412638346354,,
450_side_variant,342.9127276876698,,
450_600,306.1348482019761,,
500_front,302.5156333229759,,
500_oneside_variant,300.2629811604818,,
550_front,313.52923861416906,,
550_oneside_variant,314.4773654937744,,
600_front,326.0245065128102,,
600_oneside_variant,325.97585880055146,,
