situation,z_estimation_1,z_estimation_2
150_front,72.1864128112793,
150_bodyside_variant,64.80870643028847,
150_500,61.57985750834147,227.6653792437385
200_front,92.37423944473267,
200_shaking_hands_variant,91.23518829345703,
200_400_front,89.08192920684814,180.91463156307444
250_front,112.59131376204952,
250_oneback_one_front_variant,113.17350823538644,
250_side_variant,113.02298593521118,
250_350,127.39886302332724,
250_500,119.53857197481044,224.34847259521484
250_600,117.70908265955308,274.4177989959717
250_600_perspective_variant,103.71819087437221,272.9527187347412
300_front,138.57174728855944,
350_front,161.32559871673584,
350_side_variant,154.97466278076172,
400_front,180.38982795266543,
400_oneside_variant,180.12487284342447,
400_120cm_h_variant,180.82046461105347,
400_200_sitdown,96.9107401230756,177.9257121366613
400_200_sitdown_side_variant,96.61503873552594,175.5497109549386
450_front,203.6452100349195,
450_side_variant,198.14370782034737,
450_600,233.17648546623462,
500_front,221.77575206756592,
500_oneside_variant,226.53572503451645,
550_front,252.27904106588926,
550_oneside_variant,253.07682609558105,
600_front,272.30237534466914,
600_oneside_variant,277.36983893899355,
